role,current_load,availability,expertise_match,hours_remaining,experience_years,performance_score,department_match,suitability_score
doctor,4,1,0.819,5.77,22,0.725,1,71.82
nurse,4,0,0.527,2.83,23,0.859,1,36.74
doctor,5,1,0.628,1.26,23,0.813,0,64.04
nurse,0,1,0.405,8.15,3,0.895,1,83.23
doctor,0,1,0.548,2.93,13,0.799,1,76.99
doctor,5,1,0.924,9.67,24,0.969,0,80.34
nurse,5,1,0.386,6.42,19,0.952,0,63.64
nurse,5,1,0.763,9.21,6,0.874,0,69.09
nurse,5,1,0.083,8.18,17,0.735,1,52.51
doctor,2,1,0.515,8.89,22,0.714,1,76.66
doctor,5,1,0.489,3.79,10,0.818,1,52.19
nurse,5,1,0.299,4.26,15,0.815,1,55.12
doctor,5,1,0.323,7.44,20,0.922,1,60.79
nurse,5,1,0.54,8.57,5,0.963,1,54.07
nurse,4,0,0.7,8.67,2,0.704,1,37.15
nurse,3,1,0.63,2.73,23,0.839,1,70.56
doctor,3,1,0.536,0.93,14,0.98,1,68.38
nurse,0,0,0.331,0.66,9,0.762,1,34.37
doctor,0,1,0.467,7.04,12,0.974,0,73.0
doctor,3,1,0.336,0.16,21,0.855,1,60.07
doctor,3,1,0.488,5.12,24,0.969,0,68.08
nurse,0,0,0.927,5.44,2,0.86,1,51.74
nurse,0,1,0.706,6.32,1,0.708,0,82.35
doctor,4,1,0.132,7.14,25,0.94,0,66.08
nurse,2,1,0.537,8.02,21,0.822,1,80.29
doctor,1,0,0.804,9.81,20,0.801,1,55.44
nurse,4,1,0.445,11.69,12,0.742,1,63.75
nurse,2,1,0.237,6.5,13,0.821,0,62.8
doctor,4,0,0.482,6.65,25,0.849,1,35.68
nurse,1,0,0.503,7.6,21,0.753,1,56.04
nurse,5,0,0.468,2.94,21,0.951,1,30.73
nurse,0,1,0.572,1.62,24,0.764,0,81.0
nurse,0,1,0.268,0.9,17,0.824,1,68.33
nurse,1,1,0.765,8.29,17,0.756,1,89.48
nurse,0,1,0.775,2.65,9,0.983,0,84.0
doctor,0,0,0.616,3.57,16,0.735,1,54.92
nurse,2,1,0.466,1.45,2,0.965,1,59.9
doctor,3,1,0.313,6.24,13,0.885,0,65.32
nurse,2,1,0.602,7.53,24,0.782,1,84.6
doctor,0,1,0.728,3.56,18,0.789,0,86.98
nurse,0,0,0.587,11.79,14,0.88,1,58.47
nurse,0,1,0.609,9.97,14,0.769,0,87.47
doctor,5,1,0.662,8.35,24,0.969,1,67.89
nurse,4,1,0.466,3.19,9,0.713,1,59.34
doctor,4,1,0.717,11.55,16,0.905,0,74.75
doctor,1,1,0.875,8.14,13,0.78,1,87.15
doctor,2,1,0.508,7.42,6,0.757,1,73.32
nurse,1,1,0.287,6.67,13,0.852,0,71.53
doctor,0,1,0.276,1.28,7,0.862,1,72.81
nurse,3,1,0.458,8.5,22,0.913,1,72.58
nurse,1,1,0.238,4.6,11,0.946,1,65.72
nurse,2,1,0.628,6.32,11,0.766,0,73.47
doctor,2,1,0.32,7.66,6,0.928,1,66.92
nurse,0,1,0.513,8.58,18,0.959,1,85.36
nurse,4,1,0.324,1.57,21,0.974,1,60.76
nurse,5,1,0.14,1.93,22,0.875,0,51.18
doctor,0,0,0.584,3.5,13,0.927,1,42.85
nurse,2,1,0.53,5.99,22,0.763,1,73.91
doctor,4,0,0.739,8.32,15,0.76,0,44.4
nurse,0,0,0.529,9.62,15,0.944,0,56.63
doctor,3,1,0.257,5.26,18,0.718,0,70.71
doctor,2,1,0.326,5.98,18,0.706,1,68.43
doctor,0,1,0.626,2.44,7,0.839,1,79.8
nurse,4,1,0.404,8.7,4,0.962,1,64.05
nurse,1,1,0.627,10.03,1,0.739,1,80.85
nurse,5,1,0.706,10.45,15,0.878,1,73.05
doctor,1,0,0.12,0.11,1,0.932,0,22.0
nurse,1,0,0.3,2.98,11,0.985,0,40.2
doctor,4,1,0.519,6.48,20,0.781,0,68.5
doctor,4,1,0.642,0.5,10,0.819,1,62.51
doctor,2,1,0.378,8.08,18,0.757,1,71.11
doctor,5,1,0.77,8.2,18,0.773,1,70.76
doctor,0,1,0.4,7.81,2,1.0,0,72.33
nurse,0,1,0.482,10.54,6,0.798,1,81.42
doctor,0,0,0.707,4.66,25,0.879,1,52.97
nurse,3,0,0.209,6.01,21,0.959,1,30.63
doctor,3,1,0.426,0.22,23,0.829,1,65.63
nurse,3,1,0.109,2.33,14,0.846,0,56.45
nurse,3,1,0.303,4.96,25,0.857,0,68.38
doctor,1,1,0.575,11.01,20,0.845,1,86.02
nurse,2,0,0.015,7.76,24,0.823,1,37.43
doctor,0,1,0.225,8.01,18,0.93,0,75.7
nurse,2,1,0.813,2.76,7,0.864,0,74.04
doctor,4,1,0.559,4.85,22,0.834,1,69.11
nurse,1,1,0.266,4.81,1,0.768,1,59.08
nurse,4,1,0.848,6.4,3,0.757,0,70.56
nurse,1,1,0.874,7.62,15,0.76,1,89.17
nurse,5,1,0.188,11.13,13,0.736,1,58.52
doctor,4,0,0.449,6.08,20,0.913,0,38.4
nurse,1,1,0.398,9.9,23,0.983,1,80.84
doctor,5,1,0.977,7.54,24,0.86,1,78.22
nurse,3,1,0.524,11.19,2,0.74,1,62.74
nurse,5,1,0.715,6.07,15,0.989,1,68.96
doctor,3,1,0.013,2.59,2,0.895,0,43.05
nurse,0,0,0.524,2.87,3,0.722,1,40.78
nurse,2,0,0.415,2.79,20,0.752,1,36.49
nurse,3,1,0.39,2.12,22,0.989,0,58.83
doctor,2,1,0.349,7.43,13,0.704,0,69.67
doctor,0,1,0.679,8.85,8,0.943,1,85.56
nurse,5,1,0.699,0.92,1,0.952,0,55.66
doctor,1,1,0.525,10.59,5,0.921,1,75.45
nurse,4,0,0.434,0.43,20,0.921,1,26.75
nurse,4,1,0.074,4.58,18,0.703,0,51.82
nurse,5,0,0.393,1.5,8,0.734,1,21.6
nurse,3,0,0.563,4.51,14,0.832,1,36.16
doctor,3,1,0.511,3.43,23,0.964,0,72.41
doctor,4,1,0.625,3.84,22,0.995,1,70.11
doctor,4,0,0.7,6.07,24,0.803,1,43.82
nurse,5,1,0.785,1.92,10,0.867,1,64.07
doctor,4,1,0.444,3.73,21,0.92,1,61.4
nurse,0,1,0.839,4.42,11,0.927,1,88.58
nurse,2,1,0.735,8.35,21,0.709,0,88.3
nurse,0,1,0.707,1.25,23,0.911,0,86.87
doctor,3,1,0.418,9.46,19,0.832,0,70.15
nurse,0,1,0.508,11.98,22,0.893,1,83.17
doctor,5,1,0.441,1.98,11,0.707,1,48.4
nurse,5,1,0.588,10.47,5,0.844,1,58.09
doctor,3,0,0.471,0.69,14,0.883,0,32.48
doctor,3,1,0.521,10.88,24,0.992,1,80.46
doctor,3,0,0.422,4.15,18,0.823,1,35.38
nurse,1,1,0.256,9.93,24,0.778,1,73.77
nurse,0,1,0.887,1.81,4,0.825,0,84.06
doctor,0,1,0.412,0.98,6,0.954,1,67.96
doctor,2,1,0.775,5.51,19,0.936,0,80.26
doctor,4,0,0.81,10.53,22,0.748,0,48.95
doctor,1,1,0.548,4.69,3,0.732,1,68.62
doctor,2,1,0.814,6.93,21,0.794,1,85.2
doctor,1,1,0.578,10.77,11,0.995,0,77.58
nurse,4,1,0.247,10.28,9,0.941,1,59.35
nurse,4,1,0.79,6.72,1,0.709,1,65.43
doctor,5,1,0.632,11.86,2,0.946,1,63.75
nurse,3,1,0.257,2.88,20,0.972,1,64.51
nurse,1,1,0.945,10.12,3,0.709,1,88.26
nurse,3,1,0.164,4.32,21,0.71,1,59.91
doctor,3,1,0.476,3.12,1,0.962,0,58.71
nurse,5,1,0.336,5.75,17,0.713,1,54.62
doctor,5,1,0.291,9.66,20,0.995,1,64.92
doctor,3,1,0.468,3.16,9,0.704,1,60.82
nurse,5,1,0.504,10.83,8,0.963,1,61.1
doctor,0,1,0.325,7.91,16,0.949,1,78.7
nurse,4,0,0.435,6.86,13,0.908,0,38.92
nurse,0,1,0.226,8.12,4,0.815,1,70.92
nurse,3,1,0.63,0.85,25,0.701,0,67.65
nurse,5,1,0.087,0.09,8,0.711,0,35.47
doctor,4,1,0.705,9.8,17,0.885,0,75.13
doctor,4,1,0.537,4.68,19,0.823,1,66.63
doctor,4,1,0.749,0.02,14,0.715,0,65.78
doctor,0,1,0.279,0.85,19,0.806,1,68.61
nurse,4,1,0.929,10.96,25,0.746,0,81.14
doctor,1,0,0.368,0.52,21,0.942,0,34.93
nurse,0,0,0.729,6.51,6,0.937,1,51.26
nurse,3,1,0.047,7.21,4,0.818,1,49.05
doctor,3,1,0.376,7.64,11,0.816,1,69.87
doctor,4,1,0.111,2.01,18,0.846,0,58.61
doctor,2,1,0.432,1.92,18,0.794,0,69.86
nurse,4,1,0.71,1.06,15,0.745,0,65.9
doctor,4,1,0.14,4.27,2,0.778,0,45.71
doctor,4,1,0.064,5.33,15,0.945,0,57.8
doctor,1,1,0.762,10.88,21,0.88,1,89.19
nurse,3,0,0.308,5.6,12,0.991,1,33.61
doctor,5,1,0.748,4.64,11,0.976,1,62.91
nurse,2,1,0.317,9.68,3,0.76,0,62.16
nurse,5,1,0.213,0.37,3,0.908,0,44.19
nurse,4,1,0.244,0.11,19,0.76,1,55.7
nurse,0,0,0.559,1.25,23,0.846,0,50.22
nurse,3,1,0.576,11.37,2,0.702,0,65.52
doctor,1,1,0.807,3.37,8,0.788,0,76.05
nurse,2,0,0.639,0.4,19,0.807,1,43.81
nurse,5,1,0.117,5.56,14,0.947,1,54.07
doctor,5,1,0.671,3.41,18,0.947,1,62.3
nurse,0,1,0.525,10.07,9,0.802,1,78.54
doctor,4,1,0.438,6.86,18,0.968,1,69.18
doctor,2,0,0.945,8.45,10,0.742,0,53.93
nurse,4,0,0.441,3.23,20,0.935,1,33.72
doctor,3,1,0.253,0.03,7,0.93,1,50.03
doctor,3,1,0.816,2.59,13,0.926,0,73.9
doctor,1,1,0.289,6.95,21,0.786,1,74.82
nurse,0,0,0.132,4.55,24,0.951,1,43.08
doctor,5,1,0.549,8.13,20,0.836,0,69.22
doctor,2,1,0.82,5.23,21,0.803,1,78.98
doctor,3,1,0.491,10.55,19,0.707,1,68.66
doctor,4,1,0.654,5.69,4,0.987,1,59.47
doctor,3,1,0.341,7.47,10,0.795,0,66.32
nurse,3,1,0.71,6.47,9,0.907,1,74.11
nurse,4,1,0.249,11.39,14,0.723,0,61.69
nurse,5,1,0.765,0.6,1,0.741,1,50.38
nurse,2,1,0.292,4.88,25,0.766,1,67.07
doctor,5,0,0.433,8.38,11,0.856,1,32.89
nurse,4,1,0.207,9.38,20,0.87,1,66.93
nurse,3,1,0.452,3.86,2,0.854,1,55.59
nurse,4,1,0.688,1.85,23,0.976,1,59.68
doctor,2,1,0.962,3.01,20,0.872,1,87.19
doctor,1,1,0.227,8.15,9,0.985,1,65.3
nurse,3,1,0.631,10.71,21,0.929,1,77.54
doctor,1,1,0.191,2.48,25,0.809,0,60.12
nurse,2,1,0.363,1.82,25,0.839,0,69.77
doctor,4,0,0.66,6.27,5,0.917,0,32.15
nurse,2,1,0.38,7.69,9,0.955,1,67.5
nurse,5,1,0.546,10.82,22,0.822,0,72.14
nurse,0,1,0.134,7.54,22,0.78,1,71.44
doctor,0,0,0.674,11.67,24,0.748,0,63.03
doctor,1,1,0.344,4.14,6,0.9,0,65.42
nurse,0,1,0.596,1.96,4,0.815,0,74.18
doctor,0,1,0.308,6.56,17,0.862,1,75.71
doctor,2,1,0.635,7.5,2,0.961,1,72.44
doctor,2,1,0.709,2.24,12,0.786,1,74.51
doctor,3,1,0.829,9.41,18,0.83,1,82.38
doctor,3,1,0.565,1.22,24,0.783,1,63.58
doctor,1,1,0.564,6.99,17,0.804,1,82.52
nurse,2,1,0.789,0.92,15,0.985,0,75.5
nurse,3,1,0.536,11.58,15,0.869,1,68.52
nurse,3,1,0.335,11.27,21,0.761,1,67.25
nurse,5,1,0.463,5.4,1,0.766,1,54.35
doctor,5,0,0.46,10.97,15,0.778,1,32.47
doctor,2,0,0.551,8.57,8,0.896,1,41.9
nurse,4,0,0.569,7.17,16,0.724,1,33.18
doctor,1,1,0.182,8.86,14,0.787,1,71.95
doctor,0,1,0.463,10.0,8,0.833,1,79.04
nurse,3,1,0.727,7.08,7,0.717,1,70.08
doctor,2,1,0.451,0.85,10,0.983,1,62.76
doctor,4,1,0.749,5.32,10,0.861,1,67.2
doctor,4,1,0.477,1.23,9,0.723,1,55.61
doctor,5,1,0.512,4.97,22,0.789,1,64.63
nurse,4,0,0.184,1.94,1,0.804,1,18.31
nurse,1,1,0.733,2.54,11,0.774,0,74.26
doctor,5,1,0.767,6.49,10,0.824,1,70.63
nurse,1,1,0.611,8.36,21,0.735,1,84.98
doctor,4,1,0.566,0.22,17,0.957,1,57.35
doctor,4,1,0.17,6.43,1,0.84,1,44.72
doctor,0,1,0.536,0.16,14,0.816,1,78.34
doctor,1,0,0.294,0.8,25,0.995,1,38.45
nurse,4,1,0.807,0.82,4,0.839,1,57.84
doctor,2,1,0.748,7.58,2,0.932,1,70.85
doctor,1,1,0.749,8.05,12,0.923,0,89.56
nurse,3,1,0.546,9.29,10,0.874,1,68.77
nurse,2,1,0.322,5.1,12,0.917,1,64.66
doctor,0,1,0.701,5.17,6,0.86,1,77.02
doctor,4,1,0.532,0.76,21,0.944,1,59.1
doctor,5,1,0.488,5.57,22,0.71,1,64.04
doctor,5,1,0.569,9.9,2,0.924,1,58.97
doctor,5,0,0.524,2.9,15,0.791,1,28.05
nurse,2,1,0.521,0.21,24,0.887,1,68.13
doctor,2,0,0.361,0.83,19,0.833,1,40.67
nurse,2,1,0.746,7.79,17,0.838,1,82.88
nurse,1,1,0.47,11.69,22,0.783,0,82.11
nurse,3,1,0.068,8.22,1,0.883,1,60.33
nurse,5,1,0.651,3.32,4,0.724,1,55.11
nurse,2,0,0.578,10.57,16,0.907,1,50.87
doctor,0,1,0.291,5.58,21,0.719,1,80.32
doctor,4,1,0.506,4.63,18,0.825,0,60.37
nurse,1,0,0.394,1.37,12,0.784,1,37.53
nurse,4,1,0.544,0.75,5,0.751,1,57.43
nurse,5,1,0.23,6.97,8,0.791,1,53.26
doctor,3,1,0.66,0.68,24,0.809,0,74.9
doctor,0,1,0.437,10.67,20,0.705,1,84.87
nurse,0,1,0.708,4.88,23,0.91,1,87.62
doctor,0,1,0.422,4.83,7,0.98,1,80.18
nurse,5,0,0.414,4.88,16,0.786,1,22.26
doctor,5,1,0.779,10.14,5,0.753,1,65.06
nurse,5,1,0.743,7.2,17,0.888,1,71.67
doctor,4,0,0.298,10.9,7,0.702,1,26.46
doctor,1,1,0.75,8.5,18,0.751,0,87.91
doctor,2,1,0.331,0.42,1,0.956,1,67.86
nurse,0,1,0.238,9.28,25,0.882,0,82.99
nurse,1,1,0.684,8.13,21,0.951,1,86.51
doctor,1,1,0.202,5.02,24,0.709,1,71.24
nurse,2,1,0.282,10.62,4,0.805,1,63.7
nurse,1,1,0.294,9.53,3,0.743,1,66.09
doctor,0,1,0.164,1.11,16,0.913,0,67.48
doctor,5,1,0.421,3.53,3,0.927,0,54.41
doctor,3,1,0.532,3.26,25,0.919,1,71.75
doctor,0,1,0.344,8.19,14,0.879,1,74.59
nurse,5,1,0.578,9.85,22,0.857,1,72.49
doctor,1,1,0.766,4.34,13,0.876,0,86.0
doctor,3,1,0.529,8.98,22,0.827,1,74.38
doctor,1,1,0.441,5.5,8,0.997,1,67.27
doctor,4,1,0.646,0.62,22,0.763,0,65.3
doctor,5,1,0.195,9.14,13,0.838,1,55.15
doctor,1,0,0.599,11.65,17,0.978,1,53.42
nurse,3,0,0.579,4.26,4,0.904,1,35.6
nurse,0,1,0.443,6.45,5,0.721,1,74.19
doctor,2,0,0.827,3.81,15,0.919,1,42.78
doctor,4,1,0.328,5.14,2,0.947,0,59.26
doctor,5,1,0.274,3.01,18,0.775,1,55.51
nurse,2,1,0.075,2.81,19,0.804,1,64.15
doctor,2,1,0.784,0.31,12,0.898,1,69.58
nurse,1,1,0.298,1.92,13,0.87,1,61.09
doctor,5,1,0.138,1.92,16,0.749,0,44.35
nurse,5,1,0.428,6.89,18,0.957,1,62.78
doctor,5,1,0.427,6.79,22,0.863,0,68.17
nurse,5,0,0.798,3.81,4,0.945,1,30.51
doctor,3,1,0.709,9.03,13,0.961,1,73.92
nurse,5,1,0.255,6.57,25,0.78,1,55.62
nurse,1,0,0.566,7.7,4,0.966,1,49.19
nurse,0,0,0.478,0.42,12,0.724,1,48.33
nurse,3,1,0.42,3.47,21,0.93,1,61.98
nurse,0,1,0.346,1.55,21,0.934,0,74.12
nurse,3,0,0.433,10.39,12,0.718,0,41.11
doctor,3,0,0.774,5.57,10,0.77,1,42.14
nurse,5,1,0.62,4.1,25,0.979,1,65.76
doctor,0,1,0.674,2.1,2,0.899,1,80.7
doctor,3,1,0.946,9.6,12,0.745,1,82.07
nurse,4,1,0.06,3.55,13,0.782,0,53.82
doctor,4,1,0.444,7.98,14,0.738,0,66.46
nurse,4,1,0.797,0.16,3,0.807,0,56.48
nurse,5,1,0.235,4.56,13,0.997,0,52.21
doctor,2,1,0.542,10.7,3,0.944,1,71.21
nurse,0,1,0.51,7.59,3,0.9,0,81.33
doctor,3,1,0.619,9.21,20,0.848,1,77.2
doctor,2,1,0.321,3.33,9,0.726,0,62.26
doctor,5,0,0.573,4.79,20,0.792,1,36.53
nurse,2,1,0.65,5.59,25,0.91,1,81.9
nurse,5,1,0.344,3.69,22,0.865,1,58.1
nurse,3,1,0.762,1.99,3,0.897,1,65.12
doctor,0,1,0.791,0.74,23,0.824,1,90.69
nurse,1,0,0.546,10.42,1,0.738,1,44.16
doctor,5,0,0.263,4.15,19,0.789,1,25.97
nurse,2,1,0.504,10.44,4,0.884,1,72.54
nurse,3,1,0.91,8.14,23,0.798,1,81.7
nurse,5,1,0.668,10.49,12,0.944,0,70.99
nurse,4,0,0.189,10.87,12,0.715,1,24.22
doctor,2,1,0.776,7.58,25,0.834,0,85.2
nurse,3,1,0.679,9.9,5,0.929,1,72.08
nurse,2,1,0.648,2.43,15,0.879,1,64.35
doctor,1,0,0.546,6.69,13,0.734,1,53.89
nurse,5,1,0.355,7.07,8,0.789,0,58.01
doctor,3,1,0.628,4.59,14,0.786,1,70.75
doctor,0,0,0.803,6.96,4,0.753,0,54.69
doctor,5,1,0.563,7.05,13,0.843,1,62.02
nurse,4,1,0.362,4.79,19,0.922,1,63.31
nurse,5,0,0.252,6.26,20,0.96,0,29.84
doctor,5,1,0.804,1.9,23,0.872,1,71.73
doctor,0,1,0.402,7.07,13,0.878,1,76.46
doctor,2,1,0.402,3.13,9,0.923,1,63.2
doctor,1,1,0.696,0.73,9,0.755,1,67.06
nurse,5,0,0.633,8.57,20,0.822,1,40.28
nurse,0,0,0.625,5.16,16,0.789,0,52.29
nurse,3,1,0.126,0.81,9,0.724,0,46.17
nurse,1,1,0.554,0.17,8,0.901,1,65.97
doctor,0,1,0.089,11.18,10,0.921,0,74.1
doctor,2,0,0.606,1.66,13,0.763,1,41.89
doctor,3,1,0.306,1.0,14,0.812,1,59.87
doctor,0,0,0.449,5.14,10,0.918,1,52.92
doctor,4,1,0.471,10.91,4,0.939,1,60.56
nurse,5,0,0.394,5.83,8,0.944,0,26.62
doctor,4,1,0.653,11.34,25,0.716,1,75.18
nurse,1,1,0.455,5.34,16,0.799,1,78.88
doctor,0,1,0.315,7.66,13,0.716,1,75.57
doctor,5,0,0.683,4.82,5,0.853,1,27.56
doctor,4,1,0.098,3.68,18,0.714,1,52.34
nurse,1,1,0.48,9.31,20,0.863,1,82.89
doctor,4,1,0.153,1.66,8,0.819,1,51.14
doctor,5,1,0.019,10.74,18,0.895,1,54.54
nurse,5,1,0.459,0.66,8,0.844,1,50.14
doctor,0,1,0.122,8.79,1,0.917,1,65.02
nurse,4,1,0.449,0.43,6,0.732,0,54.85
nurse,1,1,0.319,8.24,10,0.963,1,74.62
doctor,1,1,0.449,10.29,11,0.78,1,71.76
doctor,2,1,0.199,2.69,22,0.993,1,63.13
doctor,5,0,0.666,9.4,22,0.915,0,37.7
doctor,3,0,0.758,5.28,22,0.704,1,47.11
nurse,0,1,0.8,4.52,4,0.926,1,79.61
nurse,2,1,0.752,4.93,1,0.747,1,69.31
nurse,0,0,0.687,4.71,25,0.912,1,57.25
doctor,0,1,0.146,7.54,2,0.835,1,69.08
nurse,1,1,0.357,7.43,2,0.907,1,71.79
nurse,0,1,0.473,7.04,15,0.928,1,87.0
nurse,1,1,0.756,0.87,1,0.956,1,70.12
nurse,2,0,0.82,2.78,25,0.702,1,47.87
nurse,0,0,0.564,10.61,24,0.724,1,55.3
nurse,3,1,0.609,11.42,20,0.875,1,72.99
doctor,2,0,0.698,9.95,3,0.805,1,47.62
nurse,3,1,0.235,4.36,20,0.937,1,66.36
doctor,4,1,0.39,7.43,20,0.756,1,61.38
doctor,1,1,0.807,11.61,11,0.884,1,86.28
doctor,4,1,0.635,0.65,10,0.993,0,66.91
doctor,0,1,0.228,8.78,2,0.957,1,75.23
doctor,5,1,0.572,6.67,19,0.802,1,69.21
nurse,4,1,0.37,8.48,5,0.736,0,61.32
doctor,1,1,0.116,0.63,17,0.736,1,64.19
nurse,0,1,0.212,11.64,5,0.737,0,67.66
nurse,2,1,0.676,1.64,4,0.759,1,62.28
doctor,3,0,0.868,6.7,18,0.721,1,44.47
nurse,5,1,0.361,0.6,19,0.922,1,52.54
nurse,4,1,0.15,0.9,25,0.837,1,53.13
nurse,3,1,0.748,4.59,7,0.831,1,69.41
doctor,3,1,0.771,1.28,12,0.769,1,71.08
doctor,2,1,0.249,10.18,18,0.837,1,69.16
nurse,3,1,0.259,6.56,13,0.795,0,63.05
nurse,2,0,0.525,10.33,12,0.724,1,43.49
nurse,5,1,0.601,7.48,21,0.795,1,70.87
doctor,3,1,0.42,2.71,5,0.999,1,58.2
doctor,5,1,0.512,5.35,5,0.791,0,56.1
nurse,3,1,0.479,2.24,7,0.982,1,60.71
nurse,4,1,0.229,0.77,19,0.773,0,52.27
doctor,3,1,0.55,7.55,9,0.961,0,76.66
doctor,1,1,0.802,2.74,12,0.769,0,85.67
doctor,1,0,0.641,9.55,4,0.91,1,48.95
doctor,5,0,0.498,10.92,16,0.861,1,35.76
doctor,3,1,0.858,10.36,18,0.844,0,81.72
nurse,5,1,0.574,5.63,13,0.895,1,63.81
nurse,5,1,0.602,5.48,9,0.754,1,57.86
doctor,2,1,0.217,0.95,17,0.932,0,62.9
nurse,3,1,0.427,9.14,1,0.871,1,56.38
nurse,5,1,0.29,11.17,20,0.836,0,61.37
nurse,4,0,0.109,11.99,3,0.946,1,22.35
nurse,5,0,0.096,3.1,17,0.973,0,18.94
nurse,2,1,0.409,5.4,4,0.925,0,66.57
doctor,0,1,0.139,3.55,10,0.997,1,67.46
doctor,5,1,0.671,9.38,24,0.801,1,73.99
doctor,0,0,0.502,2.18,22,0.834,1,48.22
doctor,3,1,0.76,8.62,7,0.817,0,77.57
nurse,5,0,0.311,10.05,25,0.967,0,41.3
doctor,5,1,0.527,1.67,7,0.795,1,52.98
doctor,1,1,0.562,1.06,23,0.702,1,77.81
doctor,1,1,0.862,3.72,3,0.74,1,77.31
doctor,0,1,0.413,2.56,5,0.917,0,68.57
nurse,2,0,0.724,4.3,24,0.852,1,46.47
doctor,0,0,0.593,8.32,22,0.791,1,58.47
doctor,3,1,0.475,7.95,12,0.859,1,71.37
doctor,4,0,0.468,6.56,20,0.856,0,38.63
doctor,4,1,0.41,3.1,25,0.866,0,63.66
nurse,2,1,0.579,0.47,8,0.873,1,67.8
nurse,1,1,0.583,3.51,10,0.78,1,72.37
doctor,5,1,0.277,10.93,21,0.739,1,61.52
doctor,2,1,0.166,1.6,5,0.983,1,56.94
nurse,2,1,0.642,8.36,1,0.951,1,72.81
nurse,1,0,0.407,7.8,7,0.93,1,43.73
doctor,1,0,0.374,9.41,10,0.783,1,44.99
nurse,0,1,0.581,3.68,8,0.803,1,77.46
nurse,3,1,0.402,8.84,6,0.952,1,66.93
nurse,0,1,0.276,1.1,10,0.875,0,66.44
doctor,0,1,0.225,3.92,9,0.785,1,67.16
nurse,1,1,0.714,10.72,10,0.806,0,86.05
doctor,2,1,0.284,9.38,18,0.95,0,76.7
doctor,3,1,0.874,0.4,9,0.75,1,70.24
doctor,4,1,0.18,10.94,16,0.926,0,59.4
nurse,0,1,0.294,1.99,11,0.788,0,64.28
doctor,0,1,0.326,11.62,18,0.905,0,82.47
nurse,0,1,0.925,1.29,19,0.739,1,88.42
nurse,3,1,0.481,8.13,12,0.889,0,66.69
doctor,1,1,0.371,1.96,20,0.702,1,73.47
nurse,2,1,0.409,2.61,12,0.793,1,69.39
nurse,1,1,0.143,0.04,18,0.916,0,65.15
nurse,3,1,0.762,4.86,10,0.732,0,73.76
